StateAbbr,StateName,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
PA,Pennsylvania,35096,79748,45957,32912,83076,89661,23857,38270,126221,4203,15465,100622,34520,55387,22780,10473,64947,11115,31723,50284,17375,30852,37432,14713,38057,18575,43664,12619,33968,27808,6767,25758,9437,12122,11796,6644,5676,792,295,1255,2098,2124,56,429,878,564,3502,3444,294,43,1127,484,7,0,5,11,4,12,247,156,84,294,3,0,2,1,12,14,0,0,0,8,0,9,0,0,2,3,1,14,2,13,2,0,3,1,0
RI,Rhode Island,269,4529,9970,63,444,6740,2577,4714,76,1680,3949,278,4734,1874,4288,204,1247,4033,381,4499,225,879,5122,130,1825,5409,188,563,4263,308,1948,6573,3301,1223,2502,3972,94,61,67,18,110,227,509,648,60,5,16,65,8,103,2,0,0,0,0,0,0,1,0,6,14,2,11,1,4,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SC,South Carolina,252,3330,3192,6319,11222,818,872,1787,6514,609,558,9764,4031,2899,7375,1090,7555,3165,2412,9193,1887,742,1895,1948,5546,1143,8576,5495,10879,1946,1284,3292,930,2356,4011,1262,691,517,38,138,638,910,210,83,58,17,5,165,200,95,160,0,0,0,0,0,52,0,0,15,0,0,29,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,South Dakota,2400,1474,667,2064,9370,1127,228,65,942,6294,141,353,871,3221,1416,491,1160,1259,864,993,672,699,912,446,809,387,581,543,121,861,120,151,453,89,77,116,41,58,4,3,106,229,12,3,28,178,5,60,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
TN,Tennessee,4793,3581,1870,3667,18036,1436,1431,2974,10758,2009,2861,8511,2908,6291,5066,1693,4874,1884,4122,8179,3300,2719,7380,2797,13987,5876,21071,15659,27544,9720,19158,14600,24474,6825,23884,9043,13069,2068,65,21,546,1041,195,184,55,178,212,737,990,80,179,4,6,1,0,0,5,0,0,4,20,3,0,0,18,0,1,3,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,4,0,5
TX,Texas,4376,2336,4564,21734,29699,3923,7903,14694,5438,8157,18701,19515,35058,14882,40338,10679,31293,8214,44845,57133,13389,64570,18137,74072,75953,39166,66685,42797,82299,33917,49678,16111,66915,16697,39725,29509,25414,13283,5146,4904,8327,9874,1554,531,171,280,265,2050,1047,648,200,924,174,3,330,134,259,199,12,2026,3222,82,573,9,15,6,15,4,0,4,0,1,1,0,0,3,0,7,0,1,0,6,0,27,10,1,1
UT,Utah,5323,153,72,2091,11405,264,701,2099,6753,2946,9513,1012,15653,7124,1101,4573,8450,498,5952,3533,6031,2328,4915,5736,7829,787,2299,14454,3877,5837,4966,1681,4125,3080,2628,4422,692,385,21,11,39,334,160,3,15,355,2211,23,44,21,45,0,3,10,21,0,2,0,0,54,20,9,0,0,43,0,97,1,0,2,2,0,0,0,0,0,0,0,0,0,0,13,1,0,3,0,0
VT,Vermont,860,1143,4103,1116,1359,1390,10623,1030,4181,2138,428,1299,3929,8025,2198,457,2802,4859,1471,6315,594,4052,5076,441,2866,6888,1285,2863,2087,2034,3475,1154,2037,1611,2389,1457,344,42,8,3,9,123,80,125,57,45,169,285,53,118,216,2,2,0,0,0,0,5,0,0,0,2,0,24,0,0,0,59,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
VA,Virginia,0,0,1309,8656,28795,18329,3332,8739,11795,10761,3925,29744,4693,10975,15734,1465,13413,7831,6160,21377,2775,13974,13202,4808,23945,4310,23616,4944,21533,13801,7396,11709,9660,7377,12101,4117,2266,2346,356,900,2466,1614,77,442,43,43,866,2757,2648,320,358,9,3,1,1,0,11,0,63,8,5,13,7,0,1,0,0,2,0,17,2,1,0,0,0,0,0,0,1,1,3,7,0,0,2,0,0
WA,Washington,9931,3121,10009,2481,7628,8560,7682,1737,1413,20973,16545,1552,13002,16286,5415,6418,12512,1216,10931,12644,3352,17440,4810,11723,21574,10887,12842,16682,10654,14457,13023,8685,20714,4933,20236,7587,5007,5679,598,57,678,1179,987,918,79,300,367,539,429,1037,173,2,32,1,83,44,126,33,0,15,74,65,0,0,0,19,45,14,0,0,0,15,0,0,7,2,0,3,19,1,0,4,0,4,33,10,0
WV,West Virginia,2754,5070,10476,5315,4105,10870,1154,1995,10100,461,583,11418,5266,2079,8801,888,2590,2890,5726,3637,5498,4491,5370,5943,9755,3823,10903,3394,12125,7538,3528,7842,9970,12505,9463,14872,5873,1496,362,241,349,604,276,242,232,220,219,275,885,69,30,4,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
WI,Wisconsin,22240,15146,28255,9651,40706,43453,3930,2055,70163,18438,18902,30360,23550,40946,42991,2147,46363,12440,30801,39712,18621,32341,41722,41410,10448,51103,26782,36888,64000,14972,43191,37401,14793,58107,15645,20407,32236,2131,1384,674,1384,3975,3436,1400,624,1472,4236,2327,1555,647,1477,5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,6,0,0,2,0,0,2,0,0
WY,Wyoming,773,139,557,573,2254,2217,141,170,613,1967,650,815,1639,2824,1739,255,1069,444,2172,558,609,2128,400,1440,1148,555,1999,217,1365,900,694,484,476,329,286,751,231,107,55,8,11,89,51,67,17,3,4,19,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
